feature,mean_abs_shap
working_age_frac,0.035485532
lag_working_age_frac,0.03347746
migration_rate,0.027279222
airport_proximity,0.014838863
lag_migration_rate,0.0137795815
lag_accessibility,0.01072555
median_income,0.010475923
lag_airport_proximity,0.008460763
pop_density,0.007847065
accessibility,0.005676131
lag_pop_density,0.0056184866
lag_median_income,0.005132995
edu_index,0.003557117
dmrc_proximity,0.0025619431
commercial,0.0018425841
lag_dmrc_proximity,0.0018339744
lag_svc_education,0.0017770728
lag_edu_index,0.001067011
lag_svc_healthcare,0.0009358985
lag_svc_recreation,0.00083112903
svc_education,0.0007726278
svc_healthcare,0.0007180184
lag_svc_civic,0.0007058533
lag_svc_composite,0.0005602774
lag_commercial,0.00037507116
svc_civic,0.00025082432
svc_composite,0.00024351628
svc_recreation,0.00024080912
